,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SRXN1,1063.768311,1.24532412,0.478828878,2.600770705,0.00930146,0.022735448
HNRPDL,8273.983927,-0.712227943,0.27387464,-2.600561855,0.009307124,0.022746092
RPP40,243.6393443,0.740191719,0.284663798,2.600231307,0.009316094,0.022764813
ATP6V1G2,45.21366369,-1.513701177,0.582230397,-2.599831929,0.009326943,0.022782145
PLEKHF2,1195.068029,-1.190215668,0.457806005,-2.599825373,0.009327121,0.022782145
SMCR7,365.1649278,1.153573309,0.44370287,2.599877951,0.009325692,0.022782145
CCNYL1,871.1990832,1.4972776,0.575983648,2.599514073,0.009335585,0.022799614
FAM178B,19.232607,3.706563043,1.42601468,2.599246064,0.009342878,0.022814217
SQSTM1,5654.757322,0.886218362,0.340967089,2.599131677,0.009345991,0.022818614
EMBP1,16.22708534,3.377631404,1.299547908,2.599081869,0.009347348,0.022818718
KIAA1755,5.486331243,4.44404072,1.709916428,2.59898124,0.009350088,0.022822202
TRIM13,820.0045444,-1.129531692,0.434614614,-2.598927086,0.009351563,0.022822596
CYB5RL,293.3059087,-1.128310073,0.43418036,-2.598712832,0.009357402,0.022832611
TSIX,22.43235533,-2.237872403,0.861157341,-2.59868005,0.009358295,0.022832611
PMCH,2.66922859,-5.123036064,1.971595125,-2.598421958,0.009365333,0.022846574
LARP1B,745.9969929,-0.987242613,0.379993259,-2.598052963,0.009375403,0.022867929
SERF2,9694.239938,-0.695670991,0.267844656,-2.597292775,0.00939618,0.022915388
ARID4B,1660.04284,-1.062824366,0.409234509,-2.597103477,0.00940136,0.022922409
GRIN1,62.41547503,2.792168698,1.075113864,2.597091146,0.009401697,0.022922409
C3orf20,5.569615336,-3.747763836,1.443230748,-2.596787687,0.009410007,0.02293945
SLC25A19,455.6168131,-1.12414487,0.432965599,-2.596383805,0.009421076,0.022963213
FA2H,109.6480464,2.125407596,0.818656757,2.596213344,0.009425752,0.022971386
MDGA2,10.32588941,4.29574104,1.654729481,2.596038259,0.009430556,0.022976649
P2RY11,33.59425507,-1.798801862,0.692893002,-2.596074512,0.009429561,0.022976649
POLG2,450.1267289,-0.837297582,0.322613788,-2.595355851,0.009449303,0.023019096
FLJ41484,51.30372894,-1.441188015,0.555500159,-2.594397124,0.009475697,0.023071144
MANEA,474.4332466,-1.608055079,0.619792145,-2.594507034,0.009472668,0.023071144
SLC9A3,60.80977732,-1.461914245,0.563491236,-2.594386836,0.00947598,0.023071144
TXNRD2,512.2417853,0.916531295,0.353268566,2.594432065,0.009474734,0.023071144
C1QL3,46.71706378,-1.451073876,0.559371901,-2.59411292,0.009483533,0.023086298
LINS,271.5932677,-0.699684709,0.269746211,-2.593862969,0.00949043,0.023099851
KIF3A,1063.829578,-1.490305341,0.574582438,-2.59371892,0.009494407,0.023106294
PAK1,4010.740395,-1.465792637,0.565231675,-2.5932599,0.00950709,0.023133918
GPR144,5.768759744,3.996045079,1.540974099,2.593194189,0.009508906,0.023134124
MST1R,371.0420777,1.934488521,0.745996443,2.593160516,0.009509837,0.023134124
COG1,896.6847948,1.031121695,0.397712225,2.592632638,0.009524445,0.023166415
F2RL2,5.147017998,-3.487167433,1.345119839,-2.592458555,0.009529266,0.023174898
C16orf61,1036.447339,0.778941535,0.300493769,2.59220528,0.009536285,0.023188722
CXorf57,289.6062352,-2.737493299,1.0561735,-2.591897354,0.009544825,0.023206239
AGAP2,354.3676904,-1.742832434,0.672518227,-2.591502153,0.009555794,0.023229659
SPTAN1,12061.38764,0.886787447,0.342209496,2.591358385,0.009559788,0.023236115
HOXA13,6.693297342,6.380378497,2.462827435,2.590672171,0.009578869,0.023279238
C1orf168,7.984088274,4.267039763,1.64728447,2.590347837,0.0095879,0.023297926
COMMD4,1772.895699,0.895206164,0.345657609,2.589863897,0.009601388,0.023324178
VSIG1,28.63378056,2.724412898,1.051950397,2.589868216,0.009601268,0.023324178
LOC731789,2.999916339,-4.273504486,1.650633752,-2.589008302,0.009625277,0.023378942
LOC646214,299.185723,-1.541824533,0.595596801,-2.588705197,0.009633753,0.023390562
RPS10-NUDT3,5.148470394,-2.369856848,0.915449298,-2.588736322,0.009632882,0.023390562
SYCE2,34.19601419,-1.381923841,0.533830762,-2.588692783,0.0096341,0.023390562
MSMB,84.87264591,10.09615984,3.900761546,2.588253531,0.009646395,0.02341714
CCDC135,4.919018863,-4.0315101,1.558280421,-2.58715315,0.009677257,0.023488776
LOC285819,2.907160643,-6.287374912,2.430564863,-2.586795772,0.009687299,0.023509866
CAMSAP1,2810.340978,0.845869489,0.327010476,2.586673978,0.009690723,0.023514892
NF2,1579.453707,0.970760831,0.375309446,2.586561147,0.009693897,0.023519308
DYNC1I1,15.14342886,2.698886245,1.043547732,2.586260468,0.009702358,0.02353655
SPDYE7P,381.8739319,-1.574645913,0.608943686,-2.585864588,0.009713508,0.023560309
RPL18A,43138.1168,-0.811482795,0.313830692,-2.585734333,0.00971718,0.023565924
CIC,2607.126798,1.24419335,0.481254253,2.585313984,0.009729035,0.023591383
ATP1A2,1527.98598,-2.327505346,0.9004503,-2.584823777,0.009742878,0.0236172
INPP5F,2674.356894,-1.655685686,0.640548767,-2.584792558,0.00974376,0.0236172
ZNF107,574.2189308,-1.452875757,0.562068607,-2.584872629,0.009741498,0.0236172
PIBF1,446.1361359,-1.723471092,0.666796932,-2.584701594,0.009746331,0.023620136
GLI1,401.2230526,-1.511662102,0.584893702,-2.584507402,0.009751821,0.023630145
UCMA,17.76956801,-3.886465566,1.50378388,-2.584457526,0.009753232,0.023630267
ENAM,3.028206112,-6.402022799,2.477851889,-2.583698738,0.009774713,0.023679011
C18orf19,1011.484723,-1.226811569,0.474887483,-2.583373142,0.009783944,0.023695309
MED22,2419.644469,1.154042845,0.446720749,2.583365219,0.009784169,0.023695309
VDAC1,11827.12405,-0.862673649,0.333952584,-2.583221964,0.009788233,0.023701847
RAB7A,7231.880652,0.63724772,0.246697393,2.583114931,0.00979127,0.023705898
GDPD5,312.1712347,-1.411356986,0.546571343,-2.582200849,0.009817243,0.023765471
C2orf85,1.748622714,-5.479904117,2.122313479,-2.582042743,0.009821742,0.023773049
BDH2,701.7011966,-1.343548023,0.520414904,-2.581686289,0.009831891,0.0237943
C12orf51,2925.788118,-0.908445674,0.351891819,-2.581604989,0.009834207,0.023796062
CCT3,16137.7267,0.575106311,0.222782621,2.58146847,0.009838098,0.023796062
CHST12,334.9704163,1.393194766,0.539690341,2.581470632,0.009838036,0.023796062
SOX12,1839.237679,1.284503587,0.497567963,2.581564094,0.009835373,0.023796062
SLC45A4,402.64346,1.381012552,0.535129199,2.580708649,0.009859775,0.023845175
DPYS,2.729013574,-5.868827678,2.2744945,-2.580277807,0.009872086,0.023871625
NPEPL1,242.675534,2.809849175,1.089030633,2.580137869,0.009876088,0.023874905
PRO0611,5.614962979,-2.605140372,1.009691788,-2.580134259,0.009876191,0.023874905
ACOX1,1376.64573,0.582894814,0.225962041,2.579613863,0.009891084,0.023904257
GRM1,8.195753894,-4.059732901,1.573748014,-2.579658792,0.009889798,0.023904257
ADAM28,10.97573485,-3.67094487,1.42308671,-2.57956514,0.00989248,0.023904304
HDHD3,566.4804118,1.430278201,0.554486138,2.57946611,0.009895317,0.02390451
PRR12,2411.698612,1.290474025,0.500277971,2.579513992,0.009893945,0.02390451
LGALS12,18.09312679,-4.130014402,1.601786771,-2.578379643,0.009926487,0.023976476
RNASEL,272.8521921,-0.737003814,0.285891012,-2.577918795,0.009939735,0.024005138
TOMM40,4785.050322,1.13819025,0.441535858,2.577797997,0.009943211,0.024006857
WDR78,20.50792206,1.711226237,0.663823434,2.577833425,0.009942191,0.024006857
KIAA0895L,911.7837827,-0.984093882,0.381787997,-2.577592515,0.009949124,0.024017798
METTL2B,721.5056644,-0.714917683,0.277367963,-2.577506337,0.009951606,0.02402045
SMARCE1,4195.102695,-0.591828996,0.229641352,-2.577188265,0.009960768,0.024039226
KLHL36,958.5605847,1.533199729,0.594939859,2.577066748,0.009964271,0.024044339
LDLRAD2,35.24875682,-1.417153905,0.549941173,-2.576919088,0.009968528,0.024051272
KISS1R,42.40993684,-2.252230566,0.874040639,-2.57680303,0.009971876,0.024056008
AHCY,12922.69993,0.826853644,0.32096513,2.576147891,0.00999079,0.024098291
PKDCC,623.3583578,-2.097003068,0.814152694,-2.575687686,0.010004096,0.024127036
PDZD11,848.0430593,0.540626464,0.209902056,2.575613002,0.010006257,0.024128898
NT5C3,951.0815307,-1.17401956,0.455897797,-2.575181473,0.010018751,0.024155672
PPM1A,2310.946033,-0.919551397,0.357099378,-2.575057408,0.010022345,0.024160986
TAS2R3,2.443618524,-4.577705878,1.778177483,-2.574380748,0.01004197,0.024204936
DIP2A,1983.892091,0.801260884,0.31125446,2.574295267,0.010044451,0.02420756
TTBK2,315.5269898,-1.587823168,0.616845716,-2.574100987,0.010050093,0.024217798
AIMP2,1100.565794,0.911731599,0.354228756,2.573849759,0.010057394,0.024232028
FAM111B,1550.699241,-1.305483376,0.507235829,-2.573720743,0.010061144,0.024237704
KLF11,358.4890693,1.772723196,0.688832443,2.573518733,0.01006702,0.024248496
COLQ,55.26911041,-1.391706044,0.540800102,-2.573420453,0.010069879,0.024252021
STRN3,1039.9115,1.042421481,0.40513093,2.573048376,0.010080712,0.024271381
TUBGCP6,1995.037531,-0.954763323,0.371062416,-2.573053166,0.010080572,0.024271381
KCTD18,496.9542636,-0.694431489,0.269927393,-2.572660305,0.010092021,0.024295243
ADARB1,876.209269,1.547629328,0.601591012,2.572560587,0.010094929,0.024298876
CDC42SE1,3328.785769,0.457742275,0.177957685,2.572197289,0.010105529,0.024320123
TWSG1,2290.431254,-1.445875356,0.562124502,-2.572162131,0.010106555,0.024320123
ZNF236,745.9803538,-0.562093589,0.218535157,-2.572096855,0.010108461,0.02432134
MED20,844.7920478,0.758673017,0.295119612,2.570730602,0.010148424,0.024414112
SMARCAL1,1052.236891,-0.634781526,0.246944476,-2.570543532,0.010153906,0.024423919
PZP,4.591768518,4.356679235,1.695786918,2.569119497,0.010195729,0.024521124
MXI1,551.9975749,-0.849888968,0.330816538,-2.569064332,0.010197352,0.024521634
SHANK1,89.26982448,3.112146092,1.211859586,2.568074824,0.010226508,0.024588341
HOXA6,4.476621999,4.896164957,1.906792805,2.56774881,0.01023613,0.02460807
MDM4,1938.418648,-1.434239159,0.558575217,-2.567674177,0.010238334,0.024609963
GMPR,97.65655018,-1.411681388,0.549885096,-2.567229769,0.010251466,0.02463812
LNP1,143.2894306,0.731114386,0.284802578,2.567091882,0.010255543,0.024641102
RABAC1,1691.131896,1.500000623,0.584315771,2.567106176,0.010255121,0.024641102
LOC100507589,10.85828261,-2.087502003,0.813200515,-2.567020019,0.010257669,0.024642802
JUN,1298.581204,1.182800774,0.460795814,2.566865273,0.010262248,0.024650393
ACAD8,1145.292193,-0.463595201,0.180626719,-2.566592608,0.01027032,0.024666372
BTNL8,4.601896818,-3.917911462,1.526662417,-2.566324695,0.010278257,0.024682022
ACER3,597.6657023,1.491985579,0.581386967,2.566252193,0.010280405,0.02468377
RTN4RL2,199.0101199,2.687752137,1.047465507,2.565957656,0.010289139,0.024701326
LOC100009676,100.5015976,0.637239434,0.248358092,2.565809027,0.010293548,0.024708498
POU5F1,14469.73931,-1.886275924,0.735266808,-2.565430541,0.010304785,0.024732054
AHCYL1,5178.229714,0.358735142,0.139838702,2.565349479,0.010307193,0.024734416
FGFBP3,2984.397255,1.656098453,0.645584847,2.565268471,0.0103096,0.024736775
FAH,861.0754862,-0.932540522,0.363574717,-2.564921265,0.010319922,0.024758123
PLCD4,69.75567572,1.696110348,0.661452365,2.564221458,0.010340754,0.024804675
PPARGC1A,25.48951459,2.726626725,1.063448461,2.563948159,0.0103489,0.024820788
DNM1P35,8.467564336,2.418052446,0.943538734,2.562748469,0.010384725,0.024903273
COMMD3,607.7286264,-1.073076956,0.41897744,-2.561180758,0.010431707,0.025012485
MCF2L2,92.97785637,-1.579869168,0.617013575,-2.560509578,0.010451878,0.025057394
SPOCK2,72.55495415,-1.621197216,0.633375303,-2.559615457,0.010478804,0.02511848
CSTF1,1766.947876,0.858354596,0.335392239,2.559255989,0.010489647,0.025141002
RUVBL2,5596.550167,1.158465497,0.452743927,2.558765402,0.01050446,0.025173034
AIMP1,1612.138088,-0.943000024,0.368555264,-2.55863941,0.010508268,0.025177395
ASH2L,1790.333738,-0.563348451,0.2201776,-2.558609281,0.010509178,0.025177395
FGF11,922.137539,-1.737390395,0.67925542,-2.557786576,0.010534072,0.025233554
TRIM8,1475.526112,0.890722801,0.348255545,2.557670119,0.0105376,0.025238526
TMEM150B,2.223402061,-4.904096371,1.917532836,-2.557503203,0.010542659,0.025247161
NOC2L,5000.762634,1.050361899,0.410727198,2.557322486,0.010548138,0.025256801
EGLN1,1315.009226,-1.125832191,0.440280641,-2.557078569,0.010555537,0.025271036
MTERFD1,574.3845903,-1.022561938,0.399909661,-2.556982332,0.010558458,0.025274545
GRPR,554.327191,2.245981028,0.878401456,2.556895841,0.010561084,0.025277347
BRIP1,1895.911135,1.728689081,0.676171397,2.556584155,0.01057055,0.02529652
RBM23,1867.609835,1.067974478,0.417743461,2.556531888,0.010572138,0.025296836
ATRIP,612.9746397,0.906249513,0.354519155,2.556277993,0.010579856,0.025311817
SCRT2,10.00170809,-4.053856193,1.586515748,-2.555194424,0.01061285,0.025387258
ZNF491,23.83948543,-1.663712279,0.651337212,-2.554302515,0.010640077,0.025448884
DTL,1922.917714,-1.156771315,0.453134243,-2.552822556,0.010685392,0.025553751
NSUN4,857.9587383,-0.53017758,0.2077129,-2.552453796,0.01069671,0.025577296
FANK1,49.14701086,1.268504552,0.497038666,2.552124489,0.010706826,0.025596508
ZP3,148.1462188,1.980604287,0.776069564,2.552096331,0.010707691,0.025596508
C19orf63,2885.064086,1.075595397,0.421533578,2.551624483,0.010722201,0.025627669
TRIM14,1459.750397,-0.618934559,0.242576046,-2.551507324,0.010725807,0.025632761
AGPHD1,45.26028361,1.472319877,0.57706741,2.55138282,0.01072964,0.025638394
GLTP,1150.167559,0.875756856,0.343479057,2.549665949,0.010782618,0.025761442
CHRNA3,82.27066725,1.48813585,0.583758935,2.549230103,0.010796104,0.025790116
BAG5,1667.10885,0.640223509,0.251158047,2.549086194,0.01080056,0.025794652
SPDYE6,80.87262409,-1.973460523,0.774187563,-2.549072884,0.010800972,0.025794652
USP47,1703.845519,-1.044951597,0.41005987,-2.548290319,0.010825234,0.02584904
TMEM194B,250.1590321,-1.164463984,0.456980388,-2.54817059,0.01082895,0.025854361
DGCR14,607.6633189,0.826187855,0.324276146,2.547791029,0.010840739,0.02587895
KLRD1,3.943959174,-3.87023016,1.519121781,-2.547676038,0.010844312,0.025883924
ACVRL1,6.012802757,-4.074627638,1.600065194,-2.546538512,0.010879721,0.025964872
FRMD4A,1255.948071,-1.427271971,0.560520228,-2.546334458,0.010886083,0.025974329
PDHX,979.5882994,-0.623305199,0.244787102,-2.546315526,0.010886674,0.025974329
ELF4,1633.08206,1.072933947,0.421610266,2.544847773,0.010932539,0.026076596
GOLGA6B,3.085269155,-4.356936088,1.712033241,-2.544889892,0.01093122,0.026076596
LINC00336,2.352221932,-4.688799982,1.843112021,-2.543958222,0.010960419,0.026139509
PAIP2,3007.670638,-0.794593397,0.312365895,-2.543790497,0.010965683,0.026148474
CPT2,974.692202,-0.542610642,0.213475217,-2.541796885,0.011028424,0.026289542
CYP4X1,34.05683727,3.867310697,1.52150507,2.541766552,0.011029381,0.026289542
SEMA6C,336.2665908,1.798086758,0.707393253,2.541848894,0.011026783,0.026289542
GCH1,664.3937757,-1.21238262,0.477024421,-2.541552523,0.011036136,0.026302035
THOC5,1643.795187,0.874471759,0.34407709,2.541499519,0.01103781,0.026302415
JRKL,393.3663591,-1.379388503,0.54277246,-2.541375261,0.011041734,0.026308157
AK8,21.28024776,1.847325059,0.726916226,2.541317685,0.011043552,0.026308883
TMCC3,654.5224307,-2.009209001,0.790654013,-2.541198763,0.01104731,0.026314225
HTR1F,4.185701851,5.040338886,1.983499894,2.541133933,0.011049358,0.026315497
RAP1GDS1,1281.861258,1.353145753,0.532664968,2.540331792,0.011074735,0.02637232
CASP3,1691.771812,-2.001985058,0.788197153,-2.539954693,0.011086683,0.026397154
SBK2,32.50862507,3.797829721,1.495409997,2.539657839,0.011096096,0.026415947
ESPNP,7.746216838,4.529860354,1.784347036,2.538665552,0.011127614,0.026483722
SDF2,929.0097953,0.698055345,0.274966269,2.538694465,0.011126695,0.026483722
CBLN4,4.835641601,5.821230953,2.293819384,2.537789589,0.011155503,0.026546461
LOC100132832,144.2836498,-1.342610612,0.529149433,-2.537299539,0.011171133,0.026580013
TRMT2B,866.4470024,0.940356462,0.370653442,2.537023419,0.011179947,0.026597345
CCT6B,60.33608351,-1.312225962,0.517325852,-2.53655594,0.011194886,0.026629236
TACC3,4270.167775,0.672049371,0.264964668,2.536373532,0.011200719,0.026639465
NUAK2,437.4197002,0.992403877,0.39129697,2.536191059,0.011206557,0.026649703
PDHB,2659.554048,-0.40692184,0.160463641,-2.535913047,0.011215458,0.026667218
CCDC109B,725.7256112,-0.79828048,0.314819109,-2.535679882,0.011222927,0.026681327
HTATIP2,955.285355,0.765030869,0.301729981,2.535481776,0.011229277,0.026692771
PICK1,642.0481064,1.059378514,0.417865543,2.535213855,0.01123787,0.026709542
FARP2,515.0545128,-0.519818614,0.205058715,-2.534974509,0.011245551,0.026724142
FAM184B,42.93817952,-1.450234176,0.572359132,-2.533783589,0.011283839,0.026811464
C21orf15,14.43906031,7.540987156,2.97648775,2.533518627,0.011292374,0.026828074
STK11IP,1024.094154,1.084426016,0.428095565,2.533140039,0.011304578,0.026853396
U2AF1,6017.616189,0.974397339,0.384768535,2.532424695,0.01132767,0.026904571
RAB13,4013.418896,1.050322258,0.414826805,2.531953689,0.011342897,0.026937055
DNMBP,1864.512471,-0.803798239,0.317506416,-2.531596836,0.011354446,0.026960796
CABLES2,1107.802092,1.70460778,0.673396488,2.531358286,0.011362172,0.026975455
FBXO4,178.4375916,-0.827346871,0.326864959,-2.531158044,0.011368661,0.026983871
MED4,1209.825985,-0.883339541,0.348998082,-2.531072764,0.011371426,0.026983871
PSG9,51.38320092,9.372183918,3.702873179,2.531057226,0.011371929,0.026983871
SRCAP,5968.260159,1.10608992,0.43700121,2.531091205,0.011370828,0.026983871
RASGRP2,326.905805,-2.246729576,0.887683563,-2.531002791,0.011373694,0.026984373
SUPV3L1,973.0241445,-0.439435057,0.173635939,-2.530784009,0.011380791,0.026997523
LOC283404,6.92088005,6.480560615,2.560943891,2.530535962,0.011388841,0.027012931
DZIP3,1178.466601,-0.940845336,0.371819997,-2.530378525,0.011393953,0.027021368
SLC6A13,3.8353388,-3.992061846,1.57769228,-2.530317159,0.011395946,0.027022406
IFT46,623.5287024,1.042472772,0.412057771,2.529918968,0.011408887,0.0270494
FCGRT,211.1983597,1.645803432,0.650591034,2.529705063,0.011415844,0.027060693
RABL2B,538.9345078,-0.494149345,0.195340904,-2.529676754,0.011416765,0.027060693
TIGD4,33.21504867,-1.842715977,0.728616875,-2.529060252,0.011436839,0.027104576
RPS16,37736.11336,-0.685104029,0.270900249,-2.528990032,0.011439128,0.027106302
GRIN2D,345.0895413,2.088917857,0.826333437,2.527935775,0.011473534,0.027184123
LETM1,2761.214178,0.811757317,0.321320605,2.526315787,0.011526582,0.027306086
UBA3,1891.004343,-1.016769943,0.40277692,-2.524399718,0.011589607,0.027451646
ZNF383,98.39776281,-1.145537866,0.45379928,-2.524327202,0.011591998,0.027453567
CCDC137,1425.643779,0.758736338,0.300591759,2.524142175,0.011598101,0.027464278
ICT1,862.3993722,0.731149301,0.289715156,2.523683302,0.01161325,0.027496403
CHMP5,1875.010026,-0.745871378,0.295740048,-2.522050647,0.011667291,0.02762059
ECEL1,221.4533454,3.559987635,1.411705991,2.521762788,0.011676842,0.027639435
GAMT,402.7587345,-1.327344405,0.526508437,-2.521031594,0.011701135,0.027693163
IMP3,2428.137762,0.651410593,0.258451733,2.520434224,0.011721014,0.027736434
LOC219731,9.449862862,2.220342945,0.880989291,2.520283693,0.011726028,0.027744521
HUS1B,8.208801262,-2.226741444,0.883568785,-2.520167624,0.011729896,0.027746115
RAD51AP1,754.5468059,-1.074873001,0.426505474,-2.520185708,0.011729293,0.027746115
C15orf38-AP3S2,2.576977215,4.319625411,1.714157807,2.519969512,0.0117365,0.027757957
LOC255512,30.3090479,2.253426337,0.894295912,2.519777073,0.011742918,0.027768325
RPL17,9462.392898,-1.122674296,0.445551249,-2.519742225,0.011744081,0.027768325
ANKRD24,407.4850091,-1.874156773,0.743884873,-2.519417778,0.011754909,0.027790147
THAP2,158.7482748,-1.123117462,0.445803484,-2.519310643,0.011758487,0.027794823
EI24,4037.702678,1.157241892,0.45937968,2.519140359,0.011764175,0.027800089
GK3P,9.976898339,-1.817108745,0.721322294,-2.519135705,0.011764331,0.027800089
MRPL9,2212.618502,0.932508164,0.370175089,2.519100263,0.011765515,0.027800089
NKAIN4,78.93108211,3.595080773,1.427197834,2.518978579,0.011769582,0.027805917
LOC100506368,3.872015134,3.997954807,1.587634686,2.518183082,0.011796199,0.027865011
C10orf26,1356.384339,0.694204121,0.275703424,2.517937976,0.011804411,0.027879998
TDRKH,668.9233459,1.669900697,0.663220217,2.517867599,0.011806769,0.027879998
VRK2,669.2609216,-1.025902182,0.407451658,-2.517850061,0.011807357,0.027879998
BEST4,46.36930831,-1.237184067,0.491396067,-2.517692247,0.011812648,0.027884912
FAM186A,3.143509364,-5.319311447,2.112762353,-2.517704578,0.011812235,0.027884912
C10orf76,1149.857772,-0.351351708,0.139567994,-2.517423221,0.011821673,0.027902425
ANAPC10,200.9159868,-1.072395695,0.426042083,-2.517112131,0.011832117,0.027923281
LMAN2,4451.51989,1.214543895,0.482536457,2.51699924,0.011835908,0.027928436
GLOD5,2.678962945,4.569393127,1.816043619,2.516125207,0.011865302,0.027993993
LOC440910,17.21533622,4.088912924,1.625838426,2.514956504,0.011904707,0.028079335
MOSPD1,329.4012407,1.009171898,0.401263954,2.514982687,0.011903823,0.028079335
TADA1,691.6907423,-0.820961863,0.326465207,-2.514699407,0.011913391,0.028096003
HMGXB4,1410.646363,-0.66725088,0.265468195,-2.513487083,0.011954416,0.028188927
ME3,62.25609426,1.367662013,0.544226333,2.513039026,0.011969609,0.028220924
NDUFA8,1667.275717,0.3748426,0.149167274,2.51290106,0.011974291,0.028228132
MYO1A,6.622766951,-2.837959364,1.129498612,-2.512583314,0.01198508,0.028248898
STK10,2645.835912,-0.853108445,0.339539449,-2.512545883,0.011986352,0.028248898
KIAA1107,51.55386432,1.611581238,0.641505643,2.512185597,0.011998597,0.028273921
NAB2,1304.390938,0.615006719,0.244832208,2.511951851,0.012006547,0.028288818
LPPR3,869.4926477,2.956901413,1.177198713,2.511811626,0.012011319,0.028296223
STK32B,83.20931114,2.236279492,0.890359711,2.51165845,0.012016533,0.028304669
TUBB4A,784.2124052,-2.201562828,0.876614976,-2.511436478,0.012024092,0.028318636
TRAF7,5287.674153,0.99515722,0.396429562,2.510300229,0.012062855,0.028406079
POLR2J4,187.2218787,-1.095819678,0.436571268,-2.510059088,0.012071096,0.028421632
LOC100507321,246.0843482,-0.880348444,0.35079927,-2.509550386,0.012088497,0.028458746
SUPT4H1,2482.571095,0.998142308,0.397821522,2.509020388,0.01210665,0.02849762
CAPZA1,6625.203174,-0.977992627,0.389816762,-2.508852162,0.012112417,0.028507332
ODF2,2055.508313,1.075933826,0.42890397,2.50856579,0.012122239,0.028526586
GATSL2,8.684512465,3.453803316,1.376839274,2.50850145,0.012124447,0.028527918
SP2,926.4547698,1.276742799,0.509055608,2.508061553,0.012139552,0.02855959
LOC100128176,4.082213475,-4.451908199,1.775272705,-2.507732016,0.012150878,0.028574629
LRIT3,8.115781043,-2.528147638,1.008120579,-2.507782989,0.012149126,0.028574629
MRPL38,1970.117231,1.30755956,0.521406224,2.50775595,0.012150055,0.028574629
PPP1CC,7645.207975,-1.019092363,0.406589809,-2.506438526,0.012195426,0.028675509
KBTBD6,436.0040576,1.109225051,0.442565569,2.506351892,0.012198415,0.028678655
MURC,140.6315438,1.566839185,0.625169048,2.506264809,0.01220142,0.028681839
MRPL39,1187.128609,-1.151645479,0.459568538,-2.505927587,0.012213063,0.028705324
LOC388588,21.42943496,2.32207027,0.926724487,2.505674882,0.012221794,0.02872196
OMD,5.612448485,-5.301502235,2.115950707,-2.505494205,0.01222804,0.028732752
DCAF8,3263.538195,-0.452049079,0.180465829,-2.504901241,0.012248559,0.028777074
ACAN,41.62750232,5.200746243,2.076327779,2.504780939,0.012252725,0.028782971
RNF207,275.9925212,-1.375352221,0.54925092,-2.504050827,0.012278039,0.028838537
CHTF8,3541.992361,0.391176103,0.156233408,2.503792937,0.012286992,0.028849865
MTIF2,1502.067654,-0.722869817,0.288712732,-2.503768406,0.012287844,0.028849865
NASP,13724.91645,-0.518260198,0.206990758,-2.503784246,0.012287294,0.028849865
MAPK15,125.3287709,2.719573076,1.086312263,2.503491093,0.012297478,0.028868582
ZCCHC12,23.92650029,3.275202474,1.308355609,2.50329685,0.01230423,0.02888053
FAM161B,68.62283944,0.995567849,0.397794125,2.502721349,0.012324253,0.028923622
ARL6IP6,864.1520425,-0.64176013,0.256496855,-2.502019491,0.012348713,0.028971393
SLC2A4,126.2764598,2.217469679,0.886281065,2.501993742,0.012349611,0.028971393
TXNRD1,4193.11189,0.807789683,0.322854924,2.50202064,0.012348673,0.028971393
CRYBB1,24.39218379,-3.808983363,1.522618642,-2.501600373,0.012363339,0.028999683
LINC00467,147.5517476,-1.128239566,0.451061488,-2.501298818,0.012373872,0.029019568
OTUD1,197.8666854,0.845851767,0.338169992,2.501262053,0.012375157,0.029019568
RAD51C,1521.466073,1.401866705,0.560483256,2.501174992,0.0123782,0.029022786
PRDX2,8213.069227,0.842768078,0.336975074,2.500980466,0.012385001,0.029034814
MUSTN1,14.99699728,-1.569452498,0.627809851,-2.49988511,0.012423359,0.029120809
GPR160,918.0740515,-2.425456899,0.970482768,-2.499227167,0.01244645,0.029167065
NOTCH1,4220.645021,1.76833383,0.707546297,2.499248228,0.01244571,0.029167065
FAM91A1,2069.674982,0.78526584,0.314244562,2.498900331,0.012457934,0.029190041
HACE1,523.4844831,-0.860546516,0.344401259,-2.498674131,0.012465888,0.029204739
LOC338817,44.26115369,-2.390253902,0.956759889,-2.498279798,0.012479765,0.029233307
PREP,2594.950666,1.145243298,0.458512995,2.497733567,0.01249901,0.029274439
VGLL1,3.908557122,5.656291923,2.265152449,2.497091057,0.01252168,0.029323583
PFKM,3874.029416,-0.96455807,0.386328012,-2.496733449,0.012534313,0.029349213
GPLD1,130.6146897,-1.791782222,0.717931862,-2.495755261,0.012568929,0.029426299
GJC2,15.97890242,1.70017208,0.681323388,2.49539662,0.012581641,0.029452093
WWP2,1974.06394,1.119000575,0.448444238,2.495294799,0.012585252,0.029456577
CMA1,2.984740665,-6.379559567,2.558687513,-2.493293743,0.012656409,0.029619135
GPR21,2.23437666,-4.499627041,1.804763809,-2.493194411,0.012659951,0.029623432
RECQL4,2921.311363,1.693113865,0.679123836,2.493085614,0.012663831,0.029628521
C7orf43,598.7558064,0.980030801,0.393192975,2.492493163,0.012684977,0.029674
GLUD2,42.92614607,1.945637033,0.78064688,2.492339471,0.012690468,0.029678852
TAS2R10,2.438214773,-5.722514572,2.296019154,-2.492363604,0.012689606,0.029678852
CCDC142,269.4538176,0.727401175,0.291868061,2.492226013,0.012694523,0.029680345
STRA13,1369.166999,1.277349269,0.512524242,2.492270933,0.012692917,0.029680345
LOC392196,2.957933706,-3.450509763,1.384943843,-2.491443808,0.012722509,0.029741775
