"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","status"
"FLJ43663",212.053352937677,-4.1517151347319,0.262533090149891,-15.8140641713451,2.48880313316069e-56,3.92208708038269e-54,"DOWN"
"S100A13",1981.96930812339,4.10478620521656,0.259733282931832,15.8038513927916,2.92676071503135e-56,4.57144483365516e-54,"UP"
"CD276",4171.95895146779,8.31089730447807,0.526003698799722,15.8000738843521,3.10752154102088e-56,4.81120659640514e-54,"UP"
"TUBB3",7405.7327655171,8.41421818410228,0.533204116444243,15.7804824167785,4.23935514846357e-56,6.50648855394626e-54,"UP"
"HLA-DQA1",8960.26917875649,-12.3948790073384,0.786083668495151,-15.767887699622,5.17518307530465e-56,7.87430873095924e-54,"DOWN"
"SLC25A24",1938.54559422181,8.49343200713336,0.540314452842785,15.7194240547267,1.11331106563258e-55,1.67948207764232e-53,"UP"
"EMP2",6282.04886389585,9.13628969518075,0.58182099305288,15.7029220400619,1.44433140465583e-55,2.16037705865894e-53,"UP"
"ADCY7",1426.23636088207,-4.11480764731703,0.262207727992659,-15.6929304823244,1.69066962858099e-55,2.50758982726508e-53,"DOWN"
"OCRL",1160.42587104467,2.59491441975172,0.16536807776435,15.6917493075628,1.72242769754385e-55,2.53340407180407e-53,"UP"
"ITGAX",559.007342898924,-9.72842861391386,0.621351384452611,-15.6568873222746,2.98135829980426e-55,4.34884082574753e-53,"DOWN"
"C10orf47",449.902760905556,4.73582152517714,0.302502849572356,15.6554608720946,3.04896484117807e-55,4.41100241367156e-53,"UP"
"SPIB",939.161681953228,-11.0579906001917,0.707007643373616,-15.6405531168326,3.85366198684646e-55,5.52984829819838e-53,"DOWN"
"LTA",1590.58133968168,-12.2850055967041,0.787085129521601,-15.6082298291814,6.39878239572334e-55,9.10794429713846e-53,"DOWN"
"NEO1",2099.07363901766,6.92830286062435,0.443904431855246,15.6076451673806,6.45768080158426e-55,9.11824529183698e-53,"UP"
"REC8",877.641012231963,-5.23388751205213,0.335646842226993,-15.5934358783943,8.06752156248348e-55,1.13009329823677e-52,"DOWN"
"LRRC1",537.239799182177,5.88560455892478,0.378135013975919,15.564822990181,1.26218822241627e-54,1.75414347446041e-52,"UP"
"TEC",563.420797978734,-5.42856188101731,0.348808217202403,-15.5631708580629,1.29520109700907e-54,1.78596088767266e-52,"DOWN"
"DDAH1",832.442724913902,5.65857523499937,0.364156523089719,15.538854520547,1.89337437658584e-54,2.59054711215039e-52,"UP"
"CYBB",712.031712279032,-7.64930819109323,0.492460888427877,-15.532823764975,2.08014686958058e-54,2.82419940369978e-52,"DOWN"
"NGFRAP1",4674.67640686415,6.75946268513859,0.435229990359981,15.5307833441069,2.14740518155742e-54,2.89325965301439e-52,"UP"
"LAPTM5",15004.7786946378,-10.7805721603592,0.694368913128522,-15.5257125665184,2.32408034547136e-54,3.10757712860375e-52,"DOWN"
"LTBP1",1376.90186150939,5.84537765288403,0.377017119290018,15.5042764739484,3.24552024229574e-54,4.30702498319697e-52,"UP"
"ZNF618",1567.5692220325,9.41740824490195,0.608359738545701,15.4799991653203,4.73478987277599e-54,6.23649561600718e-52,"UP"
"LAMB2",4552.07757302643,10.7531260318362,0.695911183262409,15.4518655404068,7.32911123137261e-54,9.58213431360938e-52,"UP"
"PTPRC",3155.36475467444,-13.254282263147,0.859483518346796,-15.4212174872665,1.17861286316631e-53,1.52959684080039e-51,"DOWN"
"GAS7",1254.75065623696,-8.55551834068521,0.555266966885762,-15.4079368140143,1.44760234370223e-53,1.86497674206894e-51,"DOWN"
"ENAH",4510.63912408055,9.31042462246625,0.604567424971082,15.4001427101561,1.63308541440518e-53,2.08869257711967e-51,"UP"
"IRF9",914.448766358188,-2.74232731742557,0.178270672247695,-15.3829414723656,2.13044958202103e-53,2.7052111599044e-51,"DOWN"
"ID1",1528.79640801072,9.56839541458213,0.622918240198114,15.3605959773131,3.0079669857708e-53,3.79218694991818e-51,"UP"
"FLJ90757",393.310594669087,5.73546847506365,0.374974223431366,15.2956339840609,8.1760741341841e-53,1.02345892530744e-50,"UP"
"CTBP2",4474.89728064866,4.1688683787377,0.273067132169125,15.2668259472389,1.27216302855691e-52,1.58124489112884e-50,"UP"
"SMAGP",311.419863861167,3.89582681568169,0.25521349534753,15.2649718243804,1.30884348375168e-52,1.61546066351169e-50,"UP"
